,sections,subsections,sources
0,Vay kinh doanh,Thấu chi sản xuất kinh doanh,https://www.sacombank.com.vn/canhan/Pages/Thau-chi-san-xuat.aspx
1,Vay kinh doanh,Vay Phố chợ - Phố thương mại,https://www.sacombank.com.vn/canhan/Pages/Cho-vay-Pho-cho-Pho-thuong-mai.aspx
2,Vay kinh doanh,Vay Tiểu thương chợ,https://www.sacombank.com.vn/canhan/Pages/Vay-Tieu-thuong.aspx
3,Vay kinh doanh,Vay nông nghiệp,https://www.sacombank.com.vn/canhan/Pages/Vay-nong-nghiep.aspx
4,Vay kinh doanh,Vay Sản xuất kinh doanh,https://www.sacombank.com.vn/canhan/Pages/Vay-San-xuat-kinh-doanh.aspx
5,Vay tiêu dùng,Vay mua nhà,https://www.sacombank.com.vn/canhan/Pages/Vay-mua-nha.aspx
6,Vay tiêu dùng,Vay mua xe,https://www.sacombank.com.vn/canhan/Pages/Vay-mua-xe.aspx
7,Vay tiêu dùng,Vay cầm cố chứng từ có giá,https://www.sacombank.com.vn/canhan/Pages/Vay-cam-co-chung-tu-co-gia.aspx
8,Vay tiêu dùng,Vay du học,https://www.sacombank.com.vn/canhan/Pages/Vay-du-hoc.aspx
9,Vay tiêu dùng,Vay tiêu dùng phục vụ đời sống,https://www.sacombank.com.vn/canhan/Pages/Vay-tieu-dung-phuc-vu-doi-song.aspx
10,Vay không có tài sản bảo đảm,Vay tiêu dùng nhanh,https://www.sacombank.com.vn/canhan/Pages/Cho-vay-tieu-dung-nhanh.aspx
11,Vay không có tài sản bảo đảm,Vay tín chấp từ lương,https://www.sacombank.com.vn/canhan/Pages/Vay-tin-chap-tu-luong.aspx
12,Vay không có tài sản bảo đảm,Vay tiêu dùng hưu trí,https://www.sacombank.com.vn/canhan/Pages/Cho-vay-tieu-dung-huu-tri.aspx
13,Vay không có tài sản bảo đảm,Thấu chi tiêu dùng,https://www.sacombank.com.vn/canhan/Pages/Thau-chi-tieu-dung.aspx
14,Vay không có tài sản bảo đảm,Vay mua xe máy,https://www.sacombank.com.vn/canhan/Pages/Vay-Mua-Xe-May.aspx
15,Vay không có tài sản bảo đảm,Vay tiêu dùng Cán bộ nhân viên Nhà nước,https://www.sacombank.com.vn/canhan/Pages/Vay-CBNVNN.aspx
16,Vay không có tài sản bảo đảm,Vay tiêu dùng từ lương,https://www.sacombank.com.vn/canhan/Pages/Vay-tieu-dung--Bao-Tin.aspx
17,Vay linh hoạt,Vay phát triển kinh tế gia đình,https://www.sacombank.com.vn/canhan/Pages/Vay-phat-trien-kinh-te-gia-dinh.aspx
