,title,date,sources
0,Lộc xuân cho khách hàng tham gia bảo hiểm tại Sacombank,27/01/2023,https://www.sacombank.com.vn/company/Pages/Loc-xuan-cho-khach-hang-tham-gia-bao-hiem-tai-Sacombank.aspx
1,Dai-ichi Life VN và Sacombank triển khai chương trình “Kết nối triệu yêu thương - Hạnh phúc cho cộng đồng” nhân kỷ niệm 5 năm hợp tác,13/01/2023,https://www.sacombank.com.vn/company/Pages/Dai-ichi-Life-VN-va-Sacombank-trien-khai-chuong-trinh-Ket-noi-trieu-yeu-thuong-Hanh-phuc-cho-cong-dong.aspx
2,"Năm 2023, thêm 5 nhà văn hóa cộng đồng được Sacombank tài trợ qua chương trình “Những bước chân vì cộng đồng”",03/03/2023,https://www.sacombank.com.vn/company/Pages/Nam-2023-them-5-nha-van-hoa-cong-dong-duoc-Sacombank-tai-tro-qua-chuong-trinh-Nhung-buoc-chan-vi-cong-dong.aspx
3,"Sacombank có mức đóng bảo hiểm tiền gửi cao nhất nhóm ngân hàng tư nhân với 551 tỷ đồng, tăng 1.8% so với năm trước",20/03/2023,https://www.sacombank.com.vn/company/Pages/Sacombank-co-muc-dong-bao-hiem-tien-gui-cao-nhat-nhom-ngan-hang-tu-nhan-voi-551-ty-dong-tang-1-8-so-voi-nam-truoc.aspx
4,“Đón xuân sang - Ngàn lộc phát” cùng Sacombank,03/01/2023,https://www.sacombank.com.vn/company/Pages/Don-xuan-sang-Ngan-loc-phat-cung-Sacombank.aspx
5,Đầu năm vay mua xe ô tô lãi suất thấp tại Sacombank,13/02/2023,https://www.sacombank.com.vn/company/Pages/Dau-nam-vay-mua-xe-o-to-lai-suat-thap-tai-Sacombank.aspx
6,"Ưu đãi lên đến 4,4 tỷ đồng cho khách hàng tham gia bảo hiểm tại Sacombank",20/02/2023,https://www.sacombank.com.vn/company/Pages/Uu-dai-len-den-44-ty-dong-cho-khach-hang-tham-gia-bao-hiem-tai-Sacombank.aspx
7,Sacombank cung cấp dịch vụ ngoại hối tốt nhất Việt Nam 3 năm liên tiếp,13/03/2023,https://www.sacombank.com.vn/company/Pages/Sacombank-cung-cap-dich-vu-ngoai-hoi-tot-nhat-Viet-Nam-3-nam-lien-tiep.aspx
8,"Sacombank ưu đãi lãi suất cho vay từ 7,5%/năm",16/02/2023,https://www.sacombank.com.vn/company/Pages/Sacombank-uu-dai-lai-suat-cho-vay-tu-75-nam.aspx
9,Đầu năm nhận siêu ưu đãi với thẻ tín dụng Sacombank,15/02/2023,https://www.sacombank.com.vn/company/Pages/Dau-nam-nhan-sieu-uu-dai-voi-the-tin-dung-Sacombank.aspx
10,Sacombank nhận 2 giải thưởng về thương hiệu,17/01/2023,https://www.sacombank.com.vn/company/Pages/Sacombank-nhan-2-giai-thuong-ve-thuong-hieu.aspx
11,Sacombank và hành trình 20 năm Kết nối cộng đồng - Lan tỏa yêu thương,13/01/2023,https://www.sacombank.com.vn/company/Pages/Sacombank-va-hanh-trinh-20-nam-Ket-noi-cong-dong-Lan-toa-yeu-thuong.aspx
12,Sacombank dành 1.000 tỷ đồng tiếp sức doanh nghiệp phát triển kinh doanh,28/02/2023,https://www.sacombank.com.vn/company/Pages/Sacombank-danh-1-000-ty-dong-tiep-suc-doanh-nghiep-phat-trien-kinh-doanh.aspx
13,“Yêu thương bừng sáng” cùng Sacombank dịp 8/3,01/03/2023,https://www.sacombank.com.vn/company/Pages/Yeu-thuong-bung-sang-cung-Sacombank-dip-8-3.aspx
14,Sacombank triển khai quy định mới về chuyển tiền ra nước ngoài theo Thông tư 20/2022/TT-NHNN,21/03/2023,https://www.sacombank.com.vn/company/Pages/Sacombank-trien-khai-quy-dinh-moi-ve-chuyen-tien-ra-nuoc-ngoai-theo-Thong-tu-20-2022-TT-NHNN.aspx
